,id,year,release_years,movieLength,rating_kp,ageRating,votes_kp,budget,audience_count,fees_russia,sequelsAndPrequels,ticketsOnSale,actor,designer,writer,producer,operator,director,composer,editor,type_movie,num_actors,num_countries,num_genres,is_sequel,is_adult
11026,927771,2016,2022.5,80.0,2.938,18.0,38818,0.0,27230.0,802370.0,1,False,10,2,19,19,10,9,2,19,True,38,1,1,1,1
11092,654811,2015,2022.5,85.0,6.152,16.0,693,5000000.0,27230.0,18612.0,0,False,1,3,2,1,12,2,18,554,True,28,1,1,0,0
11094,1044134,2018,2022.5,98.0,5.857,18.0,6634,0.0,27230.0,23943.0,0,False,2,1,4,10,2,5,374,2,True,21,1,3,0,1
11101,601111,2011,2022.5,113.0,6.435,16.0,467,0.0,185.0,460.0,1,False,83,399,1,1,1,1,2,21,True,0,1,1,1,0
11105,953411,2017,2022.5,138.0,5.671,12.0,6099,0.0,27230.0,291468.0,0,False,6,10,3,5,13,5,44,10,True,50,1,1,0,0
11110,680851,2017,2022.5,108.0,6.654,12.0,24728,0.0,27230.0,496465.0,0,False,1,1,1,25,1,1,1,1,True,50,3,3,0,0
11124,445129,2011,2022.5,92.0,1.431,0.0,7938,3500000.0,52561.0,247247.0,0,False,6,8,1,1,5,4,7,21,True,27,1,2,0,0
11129,843330,2015,2022.5,105.0,5.607,18.0,2499,0.0,27230.0,14047.0,0,False,6,1,6,2,17,6,44,23,True,50,1,1,0,1
11131,820668,2015,2022.5,95.0,6.152,18.0,56590,1500000.0,93476.0,307643.0,0,False,2,1,5,3,7,3,3,20,True,41,1,1,0,1
11133,1009410,2016,2022.5,78.0,6.725,16.0,1263,0.0,27230.0,2625.0,0,False,1,1,1,6,4,2,374,554,True,5,1,1,0,0
11139,952154,2015,2022.5,94.0,5.162,18.0,716,0.0,27230.0,2298.0,0,False,9,5,1,2,4,1,4,10,True,18,1,2,0,1
11142,893103,2015,2022.5,93.0,3.766,6.0,13808,0.0,512935.0,1543064.0,0,False,3,8,6,3,15,3,12,14,True,29,1,2,0,0
11144,676383,2012,2022.5,110.0,6.752,16.0,539,0.0,6939.0,45103.0,0,False,3,399,85,1,1,3,374,554,True,3,1,1,0,0
11155,705672,2015,2022.5,85.0,3.776,0.0,2420,4000000.0,177411.0,489356.0,0,False,1,2,1,4,2,1,10,6,True,31,1,2,0,0
11160,780170,2013,2022.5,90.0,5.235,18.0,1469,0.0,3641.0,20735.0,0,False,3,6,8,2,3,1,26,10,True,10,1,1,0,1
11202,1118194,2018,2022.5,96.0,6.192,12.0,17781,0.0,27230.0,88575.0,0,False,9,1,3,6,1,1,44,10,True,12,1,3,0,0
11208,468280,2010,2022.5,73.0,6.152,16.0,1887,0.0,21123.0,131112.0,0,False,1,12,4,2,22,1,5,21,True,21,1,2,0,0
11243,1048327,2017,2022.5,126.0,7.989,18.0,2959,0.0,27230.0,33913.0,2,False,6,5,6,6,3,7,9,4,True,5,1,1,1,1
11262,592129,2012,2022.5,90.0,5.882,12.0,1206,0.0,116017.0,479513.0,0,False,2,9,1,1,1,2,1,554,True,14,1,2,0,0
11266,933264,2015,2022.5,80.0,4.688,18.0,12906,0.0,27230.0,37123.0,0,False,1,399,1,1,1,1,374,1,True,20,1,2,0,1
11273,1161905,2018,2022.5,98.0,5.357,16.0,2057,0.0,27230.0,3456.0,0,False,1,2,1,2,1,1,7,8,True,32,1,3,0,0
11275,713378,2013,2022.5,119.0,6.092,12.0,3181,0.0,14715.0,137047.0,0,False,5,12,1,2,12,1,26,554,True,50,1,2,0,0
11303,569981,2011,2022.5,103.0,6.667,16.0,3181,0.0,3651.0,23547.0,0,False,10,4,15,3,6,5,11,10,True,11,1,1,0,0
11333,1097432,2016,2022.5,74.0,0.0,16.0,80,0.0,27230.0,3049.0,0,False,1,399,1,1,1,1,374,1,True,6,5,1,0,0
